,state
1140,successful
1141,successful
1142,successful
1143,successful
1144,failed
1145,successful
1146,successful
1147,successful
1148,failed
1149,failed
1150,successful
1151,failed
1152,successful
1153,successful
1154,successful
1155,successful
1156,successful
1157,successful
1158,successful
1159,failed
1160,successful
1161,successful
1162,failed
1163,successful
1164,successful
1165,failed
1166,successful
1167,successful
1168,failed
1169,successful
1170,failed
1171,failed
1172,successful
1173,successful
1174,successful
1175,successful
1176,successful
1177,successful
1178,successful
1179,successful
1180,successful
1181,successful
1182,failed
1183,successful
1184,successful
1185,successful
1186,failed
1187,successful
1188,failed
1189,successful
1190,successful
1191,successful
1192,failed
1193,successful
1194,successful
1195,successful
1196,failed
1197,successful
1198,failed
1199,successful
1200,failed
1201,successful
1202,successful
1203,successful
1204,successful
1205,successful
1206,successful
1207,successful
1208,successful
1209,successful
1210,successful
1211,successful
1212,successful
1213,successful
1214,successful
1215,successful
1216,successful
1217,successful
1218,failed
1219,successful
1220,successful
1221,failed
1222,successful
1223,successful
1224,successful
1225,successful
1226,successful
1227,successful
1228,successful
1229,successful
1230,successful
1231,successful
1232,successful
1233,successful
1234,successful
1235,failed
1236,successful
1237,successful
1238,successful
1239,successful
1240,successful
1241,failed
1242,failed
1243,successful
1244,successful
1245,failed
1246,failed
1247,failed
1248,successful
1249,failed
1250,failed
1251,successful
1252,successful
1253,successful
1254,successful
1255,successful
1256,successful
1257,successful
1258,successful
1259,failed
1260,successful
1261,successful
1262,failed
1263,successful
1264,failed
1265,successful
1266,failed
1267,successful
1268,successful
1269,successful
1270,successful
1271,successful
1272,successful
1273,successful
1274,failed
1275,successful
1276,successful
1277,successful
1278,failed
1279,failed
1280,successful
1281,successful
1282,successful
1283,successful
1284,successful
1285,failed
1286,failed
1287,successful
1288,failed
1289,successful
1290,successful
1291,successful
1292,successful
1293,successful
1294,successful
1295,successful
1296,successful
1297,successful
1298,failed
1299,successful
1300,successful
1301,successful
1302,successful
1303,successful
1304,successful
1305,successful
1306,failed
1307,failed
1308,successful
1309,failed
1310,successful
1311,successful
1312,successful
1313,successful
1314,successful
1315,successful
1316,successful
1317,successful
1318,successful
1319,successful
1320,successful
1321,successful
1322,failed
1323,successful
1324,successful
1325,failed
1326,failed
1327,successful
1328,failed
1329,successful
1330,failed
1331,failed
1332,successful
1333,successful
1334,failed
1335,successful
1336,successful
1337,successful
1338,successful
1339,successful
1340,successful
1341,successful
1342,failed
1343,successful
1344,successful
1345,successful
1346,successful
1347,successful
1348,successful
1349,successful
1350,successful
1351,successful
1352,successful
1353,failed
1354,successful
1355,successful
1356,successful
1357,failed
1358,successful
1359,successful
1360,successful
1361,successful
1362,failed
1363,successful
1364,successful
1365,successful
1366,successful
1367,failed
1368,successful
1369,successful
1370,successful
1371,successful
1372,successful
1373,successful
1374,failed
1375,failed
1376,successful
1377,failed
1378,successful
1379,successful
1380,successful
1381,successful
1382,successful
1383,successful
1384,failed
1385,failed
1386,failed
1387,successful
1388,failed
1389,successful
1390,successful
1391,successful
1392,failed
1393,failed
1394,successful
1395,successful
1396,successful
1397,successful
1398,successful
1399,successful
1400,failed
1401,successful
1402,successful
1403,successful
1404,successful
1405,successful
1406,successful
1407,successful
1408,successful
1409,successful
1410,successful
1411,successful
1412,successful
